,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
52,Djibouti,DJI,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257,55.9999990463257
53,Dominica,DMA,500.0,497.299995422363,494.700012207031,492.000007629395,489.300003051758,486.599998474121,484.000015258789,481.300010681152,478.600006103516,475.999984741211,473.300018310547,470.60001373291,467.900009155273,465.299987792969,462.599983215332,459.900016784668,457.200012207031,454.599990844727,451.89998626709,449.300003051758,446.599998474121,443.899993896484,441.300010681152,438.600006103516,435.999984741211,433.300018310547,430.60001373291
54,Dominican Republic,DOM,11050.0,11430.9997558594,11811.9995117188,12193.0004882813,12574.0002441406,12955.0,13335.9997558594,13716.9995117188,14098.0004882813,14479.0002441406,14860.0,15191.9995117188,15524.0002441406,15855.9997558594,16188.0004882813,16520.0,16850.0,17180.0,17510.0,17840.0,18170.0,18501.9995117188,18834.0002441406,19165.9997558594,19498.0004882813,19830.0,20161.9995117188
55,Ecuador,ECU,146308.49609375,145406.50390625,144504.599609375,143602.6953125,142700.703125,141798.798828125,140896.904296875,139995.0,139092.998046875,138191.103515625,137289.19921875,136501.796875,135714.404296875,134927.099609375,134139.697265625,133352.40234375,132565.0,131777.59765625,130990.302734375,130202.900390625,129415.595703125,128628.203125,127840.80078125,127053.49609375,126266.103515625,125478.798828125,124691.50390625
56,"Egypt, Arab Rep.",EGY,440.0,455.0,470.0,485.0,500.0,515.0,530.0,545.0,560.0,575.0,590.0,605.999984741211,622.000007629395,637.999992370605,654.000015258789,670.0,675.999984741211,681.999969482422,688.000030517578,694.000015258789,700.0,705.999984741211,711.999969482422,718.000030517578,724.000015258789,730.0,735.999984741211
57,El Salvador,SLV,3770.0,3725.0,3680.0,3635.0,3590.0,3545.0,3500.0,3455.0,3410.0,3365.0,3320.0,3273.99993896484,3227.99987792969,3182.00012207031,3136.00006103516,3090.0,3046.00006103516,3002.00012207031,2957.99987792969,2913.99993896484,2870.0,2826.00006103516,2782.00012207031,2737.99987792969,2693.99993896484,2650.0,2606.00006103516
58,Equatorial Guinea,GNQ,18600.0,18483.0004882813,18365.9997558594,18249.0002441406,18131.9995117188,18015.0,17898.0004882813,17780.9997558594,17664.0002441406,17546.9995117188,17430.0,17314.0002441406,17198.0004882813,17081.9995117188,16965.9997558594,16850.0,16731.9995117188,16614.0002441406,16495.9997558594,16378.0004882813,16260.0,16144.0002441406,16028.0004882813,15911.9995117188,15795.9997558594,15680.0,15564.0002441406
59,Eritrea,ERI,16210.0,16589.6,16210.0,16075.0,16030.0,15985.0,15940.0,15895.0,15850.0,15805.0,15760.0,15715.9997558594,15671.9995117188,15628.0004882813,15584.0002441406,15540.0,15495.9997558594,15451.9995117188,15408.0004882813,15364.0002441406,15320.0,15275.9997558594,15231.9995117188,15188.0004882813,15144.0002441406,15100.0,15055.9997558594
60,Estonia,EST,22060.0,22060.0,22133.9990234375,22171.0009765625,22208.0004882813,22245.0,22281.9995117188,22318.9990234375,22356.0009765625,22393.0004882813,22430.0,22448.0004882813,22466.0009765625,22483.9990234375,22501.9995117188,22520.0,22483.9990234375,22448.0004882813,22411.9995117188,22376.0009765625,22340.0,22336.0009765625,22331.9995117188,22328.0004882813,22323.9990234375,22320.0,22316.0009765625
61,Eswatini,SWZ,4720.0,4766.00006103516,4812.00012207031,4857.99987792969,4903.99993896484,4950.0,4996.00006103516,5042.00012207031,5087.99987792969,5134.00024414063,5180.0,5225.99975585938,5272.00012207031,5317.99987792969,5364.00024414063,5410.0,5454.00024414063,5497.99987792969,5542.00012207031,5585.99975585938,5630.0,5675.99975585938,5722.00012207031,5767.99987792969,5814.00024414063,5860.0,5905.99975585938
